id,title,context,question,answers
5731223aa5e9cc1400cdbc6f,Qing_dynasty,"Nurhaci declared himself the ""Bright Khan"" of the Later Jin (lit. ""gold"") state in honor both of the 12–13th century Jurchen Jin dynasty and of his Aisin Gioro clan (Aisin being Manchu for the Chinese 金 (jīn, ""gold"")).  His son Hong Taiji renamed the dynasty Great Qing in 1636. There are competing explanations on the meaning of Qīng (lit. ""clear"" or ""pure""). The name may have been selected in reaction to the name of the Ming dynasty (明), which consists of the Chinese characters for ""sun"" (日) and ""moon"" (月), both associated with the fire element of the Chinese zodiacal system. The character Qīng (清) is composed of ""water"" (氵) and ""azure"" (青), both associated with the water element. This association would justify the Qing conquest as defeat of fire by water. The water imagery of the new name may also have had Buddhist overtones of perspicacity and enlightenment and connections with the Bodhisattva Manjusri. The Manchu name daicing, which sounds like a phonetic rendering of Dà Qīng or Dai Ching, may in fact have been derived from a Mongolian word that means ""warrior"". Daicing gurun may therefore have meant ""warrior state"", a pun that was only intelligible to Manchu and Mongol people. In the later part of the dynasty, however, even the Manchus themselves had forgotten this possible meaning.",What Mongolian word did Qing dynasty get it's name from?,"{'text': ['Mongolian word that means ""warrior""'], 'answer_start': [1045]}"
572e8d9adfa6aa1500f8d119,The_Blitz,"From 7 September 1940, one year into the war, London was bombed by the Luftwaffe for 57 consecutive nights. More than one million London houses were destroyed or damaged and more than 40,000 civilians were killed, almost half of them in London. Ports and industrial centres outside London were also attacked. The main Atlantic sea port of Liverpool was bombed, causing nearly 4,000 deaths within the Merseyside area during the war. The North Sea port of Hull, a convenient and easily found target or secondary target for bombers unable to locate their primary targets, was subjected to 86 raids in the Hull Blitz during the war, with a conservative estimate of 1,200 civilians killed and 95 percent of its housing stock destroyed or damaged. Other ports including Bristol, Cardiff, Portsmouth, Plymouth, Southampton and Swansea were also bombed, as were the industrial cities of Birmingham, Belfast, Coventry, Glasgow, Manchester and Sheffield. Birmingham and Coventry were chosen because of the Spitfire and tank factories in Birmingham and the many munitions factories in Coventry. The city centre of Coventry was almost destroyed, as was Coventry Cathedral.",Which city centre was destroyed?,"{'text': ['Coventry'], 'answer_start': [1103]}"
5731ce3ab9d445190005e576,Protestantism,"In the course of this religious upheaval, the German Peasants' War of 1524–25 swept through the Bavarian, Thuringian and Swabian principalities. After the Eighty Years' War in the Low Countries and the French Wars of Religion, the confessional division of the states of the Holy Roman Empire eventually erupted in the Thirty Years' War between 1618 and 1648. It devastated much of Germany, killing between 25% and 40% of its population. The main tenets of the Peace of Westphalia, which ended the Thirty Years' War, were:",What war was waged from 1618 to 1648?,"{'text': [""the Thirty Years' War""], 'answer_start': [314]}"
5727e75cff5b5019007d97ff,Galicia_(Spain),"Nowadays, Galician is resurgent, though in the cities it remains a ""second language"" for most. According to a 2001 census, 99.16 percent of the populace of Galicia understand the language, 91.04 percent speak it, 68.65 percent read it and 57.64 percent write it. The first two numbers (understanding and speaking) remain roughly the same as a decade earlier; the latter two (reading and writing) both show enormous gains: a decade earlier, only 49.3 percent of the population could read Galician, and only 34.85 percent could write it. This fact can be easily explained because of the impossibility of teaching Galician during the Francisco Franco era, so older people speak the language but have no written competence. Galician is the highest-percentage spoken language in its region among the regional languages of Spain.",What percentage read it?,"{'text': ['68'], 'answer_start': [213]}"
56cf6057aab44d1400b89178,Kanye_West,"Kanye West began his early production career in the mid-1990s, making beats primarily for burgeoning local artists, eventually developing a style that involved speeding up vocal samples from classic soul records. His first official production credits came at the age of nineteen when he produced eight tracks on Down to Earth, the 1996 debut album of a Chicago rapper named Grav. For a time, West acted as a ghost producer for Deric ""D-Dot"" Angelettie. Because of his association with D-Dot, West wasn't able to release a solo album, so he formed and became a member and producer of the Go-Getters, a late-1990s Chicago rap group composed of him, GLC, Timmy G, Really Doe, and Arrowstar. His group was managed by John ""Monopoly"" Johnson, Don Crowley, and Happy Lewis under the management firm Hustle Period. After attending a series of promotional photo shoots and making some radio appearances, The Go-Getters released their first and only studio album World Record Holders in 1999. The album featured other Chicago-based rappers such as Rhymefest, Mikkey Halsted, Miss Criss, and Shayla G. Meanwhile, the production was handled by West, Arrowstar, Boogz, and Brian ""All Day"" Miller.",What types of records did Kanye sample in his early career.,"{'text': ['classic soul records'], 'answer_start': [191]}"
5727acb32ca10214002d9366,Switzerland,"On 25 May 2011 the Swiss government announced that it plans to end its use of nuclear energy in the next 2 or 3 decades. ""The government has voted for a phaseout because we want to ensure a secure and autonomous supply of energy"", Energy Minister Doris Leuthard said that day at a press conference in Bern. ""Fukushima showed that the risk of nuclear power is too high, which in turn has also increased the costs of this energy form."" The first reactor would reportedly be taken offline in 2019 and the last one in 2034. Parliament will discuss the plan in June 2011, and there could be a referendum as well.",Who is the Doris Leuthard?,"{'text': ['Energy Minister'], 'answer_start': [231]}"
57099043200fba140036819b,Computer_security,"In 1994, over a hundred intrusions were made by unidentified crackers into the Rome Laboratory, the US Air Force's main command and research facility. Using trojan horses, hackers were able to obtain unrestricted access to Rome's networking systems and remove traces of their activities. The intruders were able to obtain classified files, such as air tasking order systems data and furthermore able to penetrate connected networks of National Aeronautics and Space Administration's Goddard Space Flight Center, Wright-Patterson Air Force Base, some Defense contractors, and other private sector organizations, by posing as a trusted Rome center user.",How were hackers able to penetrate connected networks?,"{'text': ['by posing as a trusted Rome center user'], 'answer_start': [611]}"
57303cc6947a6a140053d2f6,Antenna_(radio),"The net quality of a ground reflection depends on the topography of the surface. When the irregularities of the surface are much smaller than the wavelength, we are in the regime of specular reflection, and the receiver sees both the real antenna and an image of the antenna under the ground due to reflection. But if the ground has irregularities not small compared to the wavelength, reflections will not be coherent but shifted by random phases. With shorter wavelengths (higher frequencies), this is generally the case.",What frequencies is associated with shorter wavelengths?,"{'text': ['higher frequencies'], 'answer_start': [475]}"
572803422ca10214002d9b75,Time,"In Book 11 of his Confessions, St. Augustine of Hippo ruminates on the nature of time, asking, ""What then is time? If no one asks me, I know: if I wish to explain it to one that asketh, I know not."" He begins to define time by what it is not rather than what it is, an approach similar to that taken in other negative definitions. However, Augustine ends up calling time a “distention” of the mind (Confessions 11.26) by which we simultaneously grasp the past in memory, the present by attention, and the future by expectation.",By what does St. Augustine of Hippo begin to define time?,"{'text': ['by what it is not rather than what it is'], 'answer_start': [224]}"
5725bb6d89a1e219009abda0,Israel,"The 1977 Knesset elections marked a major turning point in Israeli political history as Menachem Begin's Likud party took control from the Labor Party. Later that year, Egyptian President Anwar El Sadat made a trip to Israel and spoke before the Knesset in what was the first recognition of Israel by an Arab head of state. In the two years that followed, Sadat and Begin signed the Camp David Accords (1978) and the Israel–Egypt Peace Treaty (1979). In return, Israel withdrew from the Sinai Peninsula, which Israel had captured during the Six-Day War in 1967, and agreed to enter negotiations over an autonomy for Palestinians in the West Bank and the Gaza Strip.",Where did Anwar El Sadat make a trip to?,"{'text': ['Israel'], 'answer_start': [218]}"
