question,answer,passage,ambiguous_question,unambiguous_question,domain_idx,domain,intent,dtype,RAW_NO_DTYPE_raw_question_answered_by_gpt35_correct,RAW_NO_DTYPE_analyzed_question_answered_by_gpt35_correct,RAW_NO_DTYPE_analyzed_question_answered_by_gpt35,RAW_NO_DTYPE_raw_question_answered_by_gpt35,RAW_ALL_raw_question_answered_by_gpt35_correct,RAW_ALL_analyzed_question_answered_by_gpt35_correct,RAW_ALL_analyzed_question_answered_by_gpt35,RAW_ALL_raw_question_answered_by_gpt35,RAW_NO_DOMAIN_raw_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35_correct,RAW_NO_DOMAIN_analyzed_question_answered_by_gpt35,RAW_NO_DOMAIN_raw_question_answered_by_gpt35,RAW_NO_INTENT_raw_question_answered_by_gpt35_correct,RAW_NO_INTENT_analyzed_question_answered_by_gpt35_correct,RAW_NO_INTENT_analyzed_question_answered_by_gpt35,RAW_NO_INTENT_raw_question_answered_by_gpt35
is 9 august a public holiday in sa,True,"National Women's Day is a South African public holiday celebrated annually on 9 August. The day commemorates the 1956 march of approximately 20 000 women to the Union Buildings in Pretoria to petition against the country's pass laws that required South Africans defined as ``black'' under The Population Registration Act to carry an internal passport, known as a pass, that served to maintain population segregation, control urbanisation, and manage migrant labour during the apartheid era. The first National Women's Day was celebrated on 9 August 1994. In 2006, a reenactment of the march was staged for its 50th anniversary, with many of the 1956 march veterans.",is 9 august a public holiday in sa,is 9 august a public holiday in sa,0,REGIONAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is the movie the mission based on a true story,True,"The Mission is based on events surrounding the Treaty of Madrid in 1750, in which Spain ceded part of Jesuit Paraguay to Portugal. A significant subtext is the impending suppression of the Jesuits, of which Father Gabriel is warned by the film's narrator, Cardinal Altamirano, who was once himself a Jesuit. Altamirano, speaking in hindsight in 1758, corresponds to the actual Andalusian Jesuit Father Luis Altamirano, who was sent by Jesuit Superior General Ignacio Visconti to Paraguay in 1752 to transfer territory from Spain to Portugal. He oversaw the transfer of seven missions south and east of the Río Uruguay, that had been settled by Guaraní and Jesuits in the 17th century. As compensation, Spain promised each mission 4,000 pesos, or fewer than 1 peso for each of the circa 30,000 Guaraní of the seven missions, while the cultivated lands, livestock, and buildings were estimated to be worth 7--16 million pesos. The film's climax is the Guaraní War of 1754--1756, during which historical Guaraní defended their homes against Spanish-Portuguese forces implementing the Treaty of Madrid. For the film, a re-creation was made of one of the seven missions, São Miguel das Missões.",is the movie the mission based on a true story,is the movie the mission based on a true story,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
if a function is continuous then it is differentiable at that point,True,"If f is differentiable at a point x, then f must also be continuous at x. In particular, any differentiable function must be continuous at every point in its domain. The converse does not hold: a continuous function need not be differentiable. For example, a function with a bend, cusp, or vertical tangent may be continuous, but fails to be differentiable at the location of the anomaly.",if a function is continuous then it is differentiable at that point,if a function is continuous then it is differentiable at that point,0,SCIENCE,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is the anterior cingulate cortex in the prefrontal cortex,False,"The anterior cingulate cortex can be divided anatomically based on cognitive (dorsal), and emotional (ventral) components. The dorsal part of the ACC is connected with the prefrontal cortex and parietal cortex, as well as the motor system and the frontal eye fields, making it a central station for processing top-down and bottom-up stimuli and assigning appropriate control to other areas in the brain. By contrast, the ventral part of the ACC is connected with the amygdala, nucleus accumbens, hypothalamus, hippocampus, and anterior insula, and is involved in assessing the salience of emotion and motivational information. The ACC seems to be especially involved when effort is needed to carry out a task, such as in early learning and problem-solving.",is the anterior cingulate cortex in the prefrontal cortex,is the anterior cingulate cortex in the prefrontal cortex,0,SCIENCE,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
did dr stevens die on grey's anatomy,False,"Izzie makes a treatment error that endangers the life of a patient, and is fired from the hospital's surgical program. Believing Alex is partially to blame, she writes him a Dear John letter and leaves. Izzie later learns that Alex was not responsible for her lost job, and returns to make amends with him, but Meredith informs her that Alex is moving on. Izzie informs Alex that she no longer has cancer. Although he is pleased, Alex officially breaks up with Izzie, telling her that he loves her but deserves better. She leaves Seattle to start fresh. Several episodes later, Alex informs Meredith that Izzie sent divorce papers, which he signs in the episode ``How Insensitive''. In the sixth-season finale, Alex is shot and asks for Izzie. Imagining that Meredith's half-sister Lexie (Chyler Leigh) is Izzie, he apologizes and asks her never to leave him again. In the 300th episode, Alex reveals he never found out what happened to Izzie, but envisions a perfect, happy life for her, always smiling, now that he has moved on.",did dr stevens die on grey's anatomy,did dr stevens die on grey's anatomy,0,MEDICAL,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
is the united kingdom in the world cup,False,"No United Kingdom national football team currently exists, as there currently are separate teams representing each of the nations of the United Kingdom (England, Scotland, Wales and Northern Ireland) in international football.",is the united kingdom in the world cup,is the united kingdom in the world cup,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False,True
does chuck die in gossip girl season 6,False,"In the 5-year flash forward, Chuck and Blair are happily married with a son (Henry). They are all gathered at the Bass house for Dan and Serena's wedding.",does chuck die in gossip girl season 6,does chuck die in gossip girl season 6,0,COMMUNITY,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True
did jurassic world fallen kingdom come out yet,True,"Filming took place from February to July 2017 in the United Kingdom and Hawaii. Produced and distributed by Universal Pictures, Fallen Kingdom premiered in Madrid on May 21, 2018, and was released internationally in early June 2018 and in the United States on June 22, 2018. The film has grossed over $1.2 billion worldwide, making it the third Jurassic film to pass the mark, the third highest-grossing film of 2018 and the 13th highest-grossing film of all time. It received mixed reviews from critics, who praised Pratt's performance, Bayona's direction, the visuals, and the ``surprisingly dark moments'', although many criticized the screenplay and lack of innovation, with some suggesting the series has run its course. An untitled sequel is set to be released on June 11, 2021, with Trevorrow returning to direct.",did jurassic world fallen kingdom come out yet,did jurassic world fallen kingdom come out yet,0,MISCELLANEOUS,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
does macbook air have a mini display port,True,"Apple replaced the DVI port from the MacBook, MacBook Air, MacBook Pro, iMac, Mac Mini, and the Mac Pro with the Mini DisplayPort. Its use as the video connector for the 24-inch Cinema Display may complicate compatibility:",does macbook air have a mini display port,does macbook air have a mini display port,0,COMPUTING,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
can a current vice president run for president,True,"Of the thirteen presidential elections from 1956 to 2004, nine featured the incumbent president; the other four (1960, 1968, 1988, 2000) all featured the incumbent vice president. Former vice presidents also ran in 1984 (Walter Mondale) and in 1968 (Richard Nixon, against the incumbent vice president, Hubert Humphrey). The presidential election of 2008 was the first presidential election since 1928 that saw neither an incumbent president nor an incumbent or former vice president take part in any primary or general election for the presidency on a major party ticket. Nixon is the only vice president to have been elected president while not an incumbent, as well as the only person elected twice to both the presidency and vice presidency.",can a current vice president run for president,can a current vice president run for president,0,BUSINESS,"Informational: Encompasses seeking factual information, definitions, and explanations. This category is for queries that aim directly at understanding specific facts or data.",Simple Datatype-Boolean,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
